ID1	ID2	daysTogether
0	1	408
0	2	300
0	3	275
0	4	241
0	5	214
0	6	20
0	7	5
0	8	10
0	9	5
0	10	90
1	2	450
1	3	450
1	4	450
1	5	400
1	6	120
1	7	100
1	8	60
1	9	90
1	10	10
2	3	400
2	4	250
2	5	450
2	6	250
2	7	160
2	8	160
2	9	80
2	10	80
2	11	45
2	12	45
2	13	10
3	4	563
3	5	320
3	6	30
3	7	25
3	8	22
3	9	110
3	10	15
3	11	4
3	12	4
3	13	2
4	5	310
4	6	20
4	7	20
4	8	17
4	9	105
4	10	5
5	6	180
5	7	90
5	8	80
5	9	60
5	10	60
5	11	1
5	12	1
6	7	203
6	8	143
6	9	80
6	10	80
7	8	143
7	9	80
7	10	80
8	9	70
8	10	70
8	11	49
8	12	49
8	13	14
9	10	80
10	11	2
11	12	49
11	13	14
12	13	14
